# nccl-tests version 2.18.3 nccl-headers=22602 nccl-library=22602
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1024 maxBytes 536870912 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid   6907 on 192-222-53-71 device  0 [0000:06:00] Tesla V100-SXM2-16GB
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
        1024           256     float     sum      -1    13.14    0.08    0.00       0     7.30    0.14    0.00       0
        2048           512     float     sum      -1    13.61    0.15    0.00       0     7.79    0.26    0.00       0
        4096          1024     float     sum      -1    13.13    0.31    0.00       0     9.25    0.44    0.00       0
        8192          2048     float     sum      -1    12.50    0.66    0.00       0     7.81    1.05    0.00       0
       16384          4096     float     sum      -1    13.51    1.21    0.00       0     7.92    2.07    0.00       0
       32768          8192     float     sum      -1    13.18    2.49    0.00       0     7.29    4.49    0.00       0
       65536         16384     float     sum      -1    14.52    4.51    0.00       0     7.23    9.07    0.00       0
      131072         32768     float     sum      -1    12.99   10.09    0.00       0     7.24   18.10    0.00       0
      262144         65536     float     sum      -1    12.90   20.32    0.00       0     8.23   31.84    0.00       0
      524288        131072     float     sum      -1    13.28   39.48    0.00       0     7.25   72.33    0.00       0
     1048576        262144     float     sum      -1    13.60   77.08    0.00       0     7.22  145.21    0.00       0
     2097152        524288     float     sum      -1    13.40  156.53    0.00       0     7.23  290.07    0.00       0
     4194304       1048576     float     sum      -1    14.00  299.67    0.00       0     7.62  550.15    0.00       0
     8388608       2097152     float     sum      -1    23.73  353.55    0.00       0     7.29  1151.3    0.00       0
    16777216       4194304     float     sum      -1    43.83  382.76    0.00       0     7.27  2306.2    0.00       0
    33554432       8388608     float     sum      -1    84.26  398.21    0.00       0     7.27  4615.9    0.00       0
    67108864      16777216     float     sum      -1   165.56  405.33    0.00       0     7.25  9255.1    0.00       0
   134217728      33554432     float     sum      -1   328.52  408.55    0.00       0     7.63   17598    0.00       0
   268435456      67108864     float     sum      -1   653.68  410.66    0.00       0     8.20   32738    0.00       0
   536870912     134217728     float     sum      -1  1306.38  410.96    0.00       0     7.26   73967    0.00       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 0 
#
# Collective test concluded: all_reduce_perf
#

